"""","ホテル_ 政府 登録･ﾎ ﾃﾙ協会","ホテル_ﾋﾞｼﾞﾈｽ ﾎﾃﾙ","旅  館_ 政府 登録･ 国観連","旅  館_日観連","旅  館_ その他 の旅館","民 宿"," 国民 宿舎, 国民 休暇村","ﾕ-ｽﾎｽﾃﾙ","宿 坊","観光客数_宿泊客(人)","観光客数_日帰客(人)"
"平成25年","15.0","71.0","27.0","40.0","152.0","327.0","17.0","4.0","52.0","4965997.0","2.5247917E7"
"平成26年","17.0","72.0","26.0","40.0","126.0","311.0","15.0","4.0","51.0","5181239.0","2.5640005E7"
"","","","","","","","","","","",""
"  和歌山市","2.0","18.0","3.0","13.0","15.0","8.0","2.0","0.0","0.0","752471.0","5430410.0"
"  海 南 市","0.0","5.0","0.0","0.0","6.0","4.0","0.0","0.0","0.0","1759.0","1227732.0"
"  橋 本 市","0.0","1.0","0.0","0.0","3.0","3.0","0.0","0.0","0.0","50446.0","913499.0"
"  有 田 市","0.0","2.0","0.0","3.0","5.0","3.0","1.0","0.0","0.0","21380.0","255362.0"
"  御 坊 市","0.0","4.0","0.0","1.0","4.0","3.0","0.0","0.0","0.0","62559.0","176743.0"
"  田 辺 市","1.0","12.0","5.0","9.0","13.0","47.0","3.0","0.0","0.0","415164.0","3284401.0"
"  新 宮 市","5.0","4.0","0.0","2.0","5.0","7.0","0.0","1.0","0.0","117761.0","1161843.0"
"  紀の川市","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","9959.0","1872033.0"
"  岩 出 市","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","29113.0","767842.0"
"","","","","","","","","","","",""
"  紀美野町","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","33641.0","476519.0"
"","","","","","","","","","","",""
"  かつらぎ町","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","35157.0","788023.0"
"  九度山町","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","578.0","636006.0"
"  高 野 町","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","51.0","272863.0","1141805.0"
"","","","","","","","","","","",""
"  湯 浅 町","1.0","1.0","0.0","1.0","8.0","6.0","0.0","1.0","0.0","39077.0","452435.0"
"  広 川 町","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","2082.0","166892.0"
"　有田川町","0.0","3.0","0.0","0.0","6.0","7.0","0.0","0.0","0.0","23486.0","792918.0"
"","","","","","","","","","","",""
"  美 浜 町","0.0","1.0","0.0","0.0","0.0","3.0","1.0","0.0","0.0","10541.0","10279.0"
"  日 高 町","0.0","0.0","0.0","0.0","1.0","9.0","0.0","0.0","0.0","39200.0","189700.0"
"  由 良 町","0.0","3.0","0.0","1.0","9.0","6.0","0.0","0.0","0.0","27312.0","204212.0"
"  印 南 町","0.0","0.0","0.0","1.0","2.0","2.0","0.0","0.0","0.0","2093.0","706909.0"
"  みなべ町","0.0","0.0","0.0","1.0","2.0","3.0","0.0","0.0","0.0","176768.0","478438.0"
"  日高川町","0.0","0.0","0.0","0.0","2.0","6.0","0.0","0.0","0.0","23553.0","741976.0"
"","","","","","","","","","","",""
"  白 浜 町","4.0","4.0","9.0","3.0","13.0","86.0","3.0","0.0","0.0","1960644.0","1313775.0"
"  上富田町","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","26557.0","287499.0"
"  すさみ町","0.0","1.0","0.0","0.0","0.0","8.0","1.0","0.0","0.0","44289.0","166436.0"
"","","","","","","","","","","",""
"  那智勝浦町","0.0","5.0","6.0","1.0","8.0","25.0","1.0","0.0","0.0","687711.0","657044.0"
"  太 地 町","0.0","0.0","3.0","0.0","1.0","3.0","0.0","0.0","0.0","25644.0","226056.0"
"  古座川町","0.0","0.0","0.0","0.0","4.0","3.0","0.0","0.0","0.0","6525.0","113123.0"
"  北 山 村","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","6195.0","74853.0"
"  串 本 町","2.0","5.0","0.0","2.0","6.0","54.0","1.0","1.0","0.0","276711.0","925242.0"
